Equipment Number ,Equipment Class,Equipment Category,Service Group,Department,Make,Model,Year,Site,Mileage2024 (km),HourMeter2024 (hours),DowntimeHours2024 (hours),LaborHours2024 (hours)
D1032,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING WATERWORKS OPER.,TOYOTA,TACOMA,2013,MANITOBA YD. (250 W. 70TH),5662,NULL,101.4019439,11.63471
D1063,"TRUCK, DUMP, TANDEM AXLE",hvy trk,Engineering Services,ENGINEERING WATERWORKS OPER.,FREIGHTLINER,MM106064S,2010,MANITOBA YD. (250 W. 70TH),12575,NULL,403.8861071,74.29586
D1067,"TRUCK, FLATDECK, LIGHT",hvy trk,Engineering Services,ENGINEERING WATERWORKS OPER.,FORD,F350,2008,MANITOBA YD. (250 W. 70TH),5598,324,337.1438794,58.51997
D1070,"VAN, PANEL, LIGHT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E150,2006,MANITOBA YD. (250 W. 70TH),8681,NULL,217.5566626,23.9089
D1071,"VAN, PANEL, LIGHT",light duty,Engineering Services,ENGINEERING WATERWORKS OPER.,FORD,E150,2006,MANITOBA YD. (250 W. 70TH),6064,NULL,224.4813898,23.4853
D1072,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING WATERWORKS OPER.,FORD,TRANSIT CONNECT,2013,MANITOBA YD. (250 W. 70TH),10250,NULL,71.34333488,19.68749
D1077,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING WATERWORKS OPER.,FORD,TRANSIT CONNECT,2013,MANITOBA YD. (250 W. 70TH),11394,NULL,38.69694439,12.95668
D1079,"TRUCK, DUMP, 4-7.5 YARD",hvy trk,Engineering Services,ENGINEERING WATERWORKS OPER.,FREIGHTLINER,FL80,2004,MANITOBA YD. (250 W. 70TH),9249,NULL,114.5169436,48.63025
D1081,"TRUCK, DUMP, TANDEM AXLE",hvy trk,Engineering Services,ENGINEERING WATERWORKS OPER.,FREIGHTLINER,MM106064S,2010,NATIONAL YD. (701 NATIONAL),16318,NULL,214.983054,101.37669
D1083,"TRUCK, DUMP, TANDEM AXLE",hvy trk,Engineering Services,ENGINEERING WATERWORKS OPER.,FREIGHTLINER,FL112,2004,MANITOBA YD. (250 W. 70TH),15432,NULL,130.6444447,98.66696
D1096,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING WATERWORKS OPER.,FORD,F250,2012,MANITOBA YD. (250 W. 70TH),7069,NULL,437.955557,54.69111
D1098,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING WATERWORKS OPER.,FORD,TRANSIT CONNECT,2013,MANITOBA YD. (250 W. 70TH),7677,NULL,10.36249977,8.97055
D1104,"TRUCK, CLASS 7, REG CAB, DUMP BODY, SNOW EQUIPPED",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FREIGHTLINER,108SD,2013,NATIONAL YD. (701 NATIONAL),6847,424,230.8836101,29.72445
D1106,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,TOYOTA,TACOMA,2013,MANITOBA YD. (250 W. 70TH),9845,NULL,109.7749995,35.94526
D1107,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,RANGER,2006,NATIONAL YD. (701 NATIONAL),4267,NULL,91.56555599,18.18138
D1109,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,RANGER,2010,NATIONAL YD. (701 NATIONAL),8342,NULL,32.48611057,7.62528
D1111,"TRUCK, DUMP, 3 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,INTERNATIONAL,Apr-00,2011,NATIONAL YD. (701 NATIONAL),10237,NULL,106.6797221,36.82806
D1115,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,TOYOTA,TACOMA,2013,NATIONAL YD. (701 NATIONAL),15027,NULL,163.6461115,14.25472
D1123,"TRUCK, DUMP, 3 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,INTERNATIONAL,Apr-00,2011,MANITOBA YD. (250 W. 70TH),2233,NULL,90.87444556,48.38419
D1128,"TRUCK, CLASS 7, REG CAB, DUMP BODY, SNOW EQUIPPED",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FREIGHTLINER,108SD,2013,NATIONAL YD. (701 NATIONAL),5987,380,183.8097215,50.46169
D1129,"TRUCK, CLASS 7, REG CAB, DUMP BODY, SNOW EQUIPPED",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FREIGHTLINER,108SD,2013,MANITOBA YD. (250 W. 70TH),10698,654,185.3013843,39.91471
D1155,"TRUCK, DUMP, 3 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,INTERNATIONAL,Apr-00,2011,NATIONAL YD. (701 NATIONAL),10661,NULL,239.3186076,35.76196
D1160,"TRUCK, DUMP, 3 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,INTERNATIONAL,Apr-00,2011,NATIONAL YD. (701 NATIONAL),9806,NULL,182.7344438,59.65137
D1165,"TRUCK, CLASS 7, REG CAB, DUMP BODY, SNOW EQUIPPED",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FREIGHTLINER,108SD,2013,NATIONAL YD. (701 NATIONAL),3844,217,139.2533333,35.74112
D1170,"TRUCK, DUMP, TANDEM AXLE",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FREIGHTLINER,FL112,2004,NATIONAL YD. (701 NATIONAL),19110,NULL,586.5180545,196.26604
D1179,"TRUCK, CLASS 7, REG CAB, DUMP BODY, SNOW EQUIPPED",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FREIGHTLINER,108SD,2013,NATIONAL YD. (701 NATIONAL),8810,571,201.163054,49.24419
D1192,"TRUCK, DUMP, 4-7.5 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FREIGHTLINER,M2-106,2006,NATIONAL YD. (701 NATIONAL),10539,NULL,92.15472236,54.59283
D1194,"TRUCK, CLASS 7, REG CAB, DUMP BODY, SNOW EQUIPPED",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FREIGHTLINER,108SD,2013,NATIONAL YD. (701 NATIONAL),7242,534,127.3252788,38.70942
D1195,"TRUCK, CLASS 7, REG CAB, DUMP BODY, SNOW EQUIPPED",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FREIGHTLINER,108SD,2013,NATIONAL YD. (701 NATIONAL),9823,576,273.3475011,43.685
D1196,"TRUCK, CLASS 7, REG CAB, DUMP BODY, SNOW EQUIPPED",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FREIGHTLINER,108SD,2013,NATIONAL YD. (701 NATIONAL),8336,554,196.0230582,44.92944
D1197,"TRUCK, CLASS 7, REG CAB, DUMP BODY, SNOW EQUIPPED",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FREIGHTLINER,108SD,2013,MANITOBA YD. (250 W. 70TH),11630,332,190.7977788,34.29445
D1201,"TRUCK, DUMP, TANDEM AXLE",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FREIGHTLINER,FL112,2004,NATIONAL YD. (701 NATIONAL),19069,NULL,473.5230567,130.07443
D1202,"TRUCK, DUMP, TANDEM AXLE",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FREIGHTLINER,FL112,2004,MANITOBA YD. (250 W. 70TH),21593,NULL,419.1336072,192.21973
D1207,"TRUCK, DUMP, TANDEM AXLE",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FREIGHTLINER,MM106064S,2010,NATIONAL YD. (701 NATIONAL),19221,NULL,494.4638872,137.34774
D1208,"TRUCK, DUMP, TANDEM AXLE",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FREIGHTLINER,MM106064S,2010,MANITOBA YD. (250 W. 70TH),20182,NULL,266.1269424,108.0331
D1209,"TRUCK, DUMP, TANDEM AXLE",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FREIGHTLINER,FL112,2004,NATIONAL YD. (701 NATIONAL),17594,NULL,160.9188901,150.06495
D1210,"TRUCK, DUMP, TANDEM AXLE",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FREIGHTLINER,FL112,2004,MANITOBA YD. (250 W. 70TH),20094,NULL,328.6202783,217.14723
D1211,"TRUCK, DUMP, TANDEM AXLE",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FREIGHTLINER,FL112,2004,NATIONAL YD. (701 NATIONAL),17319,NULL,412.3488878,172.81944
D1212,"TRUCK, DUMP, TANDEM AXLE",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FREIGHTLINER,FL112,2004,NATIONAL YD. (701 NATIONAL),18214,NULL,640.2772253,165.99509
D1214,"TRUCK, CLASS 8, REG CAB, DUMP BODY, SNOW/TOW EQUIPPED",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FREIGHTLINER,114SD,2013,NATIONAL YD. (701 NATIONAL),6073,149,234.9477777,5.34166
D1229,"TRUCK, CLASS 7, REG CAB, DUMP BODY, SNOW EQUIPPED",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FREIGHTLINER,108SD,2013,NATIONAL YD. (701 NATIONAL),7429,502,340.8152763,26.77918
D1230,"TRUCK, CLASS 7, REG CAB, DUMP BODY, SNOW EQUIPPED",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FREIGHTLINER,108SD,2013,NATIONAL YD. (701 NATIONAL),12805,912,131.5083353,36.60805
D1232,"TRUCK, CLASS 7, REG CAB, DUMP BODY, SNOW EQUIPPED",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FREIGHTLINER,108SD,2013,NATIONAL YD. (701 NATIONAL),12949,620,101.0633335,29.7
D1233,"TRUCK, CLASS 7, REG CAB, DUMP BODY, SNOW EQUIPPED",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FREIGHTLINER,108SD,2013,NATIONAL YD. (701 NATIONAL),6411,508,361.2241678,73.73361
D1234,"TRUCK, CLASS 7, REG CAB, DUMP BODY, SNOW EQUIPPED",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FREIGHTLINER,108SD,2013,NATIONAL YD. (701 NATIONAL),12775,667,366.1716676,54.36863
D1256,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,TOYOTA,TACOMA,2013,NATIONAL YD. (701 NATIONAL),9019,NULL,18.14666694,7.22582
D1257,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F250,2006,NATIONAL YD. (701 NATIONAL),4298,NULL,26.70138931,1.39139
D1283,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F450,2004,NATIONAL YD. (701 NATIONAL),5869,NULL,145.4450002,12.7736
D1311,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING SEWERS OPER.,FORD,F150,2002,MANITOBA YD. (250 W. 70TH),8470,NULL,70.40805623,30.65196
D1322,"TRUCK, PICKUP, LIGHT, FOUR WHEEL DRIVE",light duty,Engineering Services,ENGINEERING SEWERS OPER.,FORD,F150,2000,MANITOBA YD. (250 W. 70TH),8457,NULL,41.56861019,5.195
D1325,"TRUCK, CLASS 8, REG CAB, DUMP BODY, SNOW EQUIPPED",hvy trk,Engineering Services,ENGINEERING SEWERS OPER.,FREIGHTLINER,114SD,2013,MANITOBA YD. (250 W. 70TH),20,16,N/A,N/A
D1328,"VAN, PANEL, LIGHT",light duty,Engineering Services,ENGINEERING SEWERS OPER.,FORD,E150,2009,MANITOBA YD. (250 W. 70TH),13714,NULL,62.79138887,24.88304
D1333,"TRUCK, SEWER CLEANER, HYDRAULIC & EDUCTOR",hvy trk,Engineering Services,ENGINEERING SEWERS OPER.,FREIGHTLINER,114SD,2013,MANITOBA YD. (250 W. 70TH),NULL,NULL,189.5649996,82.91641
D1336,"TRUCK, SEWER CLEANER, HYDRAULIC & EDUCTOR",hvy trk,Engineering Services,ENGINEERING SEWERS OPER.,INTERNATIONAL,SF637,2008,MANITOBA YD. (250 W. 70TH),8105,NULL,540.5225005,230.68887
D1337,"TRUCK, SEWER CLEANER, HYDRAULIC & EDUCTOR",hvy trk,Engineering Services,ENGINEERING SEWERS OPER.,INTERNATIONAL,SF637,2008,MANITOBA YD. (250 W. 70TH),9392,NULL,676.7497189,274.14501
D1338,"TRUCK, SEWER CLEANER, HYDRAULIC & EDUCTOR",hvy trk,Engineering Services,ENGINEERING SEWERS OPER.,INTERNATIONAL,SF637,2008,MANITOBA YD. (250 W. 70TH),6742,NULL,707.1011104,260.43076
D1339,"TRUCK, SEWER CLEANER, HYDRAULIC & EDUCTOR",hvy trk,Engineering Services,ENGINEERING SEWERS OPER.,INTERNATIONAL,SF637,2008,MANITOBA YD. (250 W. 70TH),4618,NULL,915.4088963,235.05473
D1347,"TRUCK, SEWER CLEANER, HYDRAULIC & EDUCTOR",hvy trk,Engineering Services,ENGINEERING SEWERS OPER.,INTERNATIONAL,SF637,2008,MANITOBA YD. (250 W. 70TH),10243,NULL,803.1272243,348.92367
D1364,"TRUCK, CLASS 8, REG CAB, DUMP BODY, SNOW EQUIPPED",hvy trk,Engineering Services,ENGINEERING SEWERS OPER.,FREIGHTLINER,114SD,2013,MANITOBA YD. (250 W. 70TH),7342,214,171.2347224,22.06836
D1373,"TRUCK, CLASS 8, REG CAB, DUMP BODY, SNOW EQUIPPED",hvy trk,Engineering Services,ENGINEERING SEWERS OPER.,FREIGHTLINER,114SD,2013,MANITOBA YD. (250 W. 70TH),1023,87,205.3630545,6.17248
D1374,"TRUCK, CLASS 8, REG CAB, DUMP BODY, SNOW EQUIPPED",hvy trk,Engineering Services,ENGINEERING SEWERS OPER.,FREIGHTLINER,114SD,2013,MANITOBA YD. (250 W. 70TH),7943,235,194.9924998,4.98889
D1378,"TRUCK, CLASS 8, REG CAB, DUMP BODY, SNOW EQUIPPED",hvy trk,Engineering Services,ENGINEERING SEWERS OPER.,FREIGHTLINER,114SD,2013,MANITOBA YD. (250 W. 70TH),4939,411,390.0222218,29.03388
D1379,"TRUCK, CLASS 8, REG CAB, DUMP BODY, SNOW EQUIPPED",hvy trk,Engineering Services,ENGINEERING SEWERS OPER.,FREIGHTLINER,114SD,2013,MANITOBA YD. (250 W. 70TH),2762,254,202.9252777,10.45334
D1387,"TRUCK, CLASS 8, REG CAB, DUMP BODY, SNOW EQUIPPED",hvy trk,Engineering Services,ENGINEERING SEWERS OPER.,FREIGHTLINER,114SD,2013,MANITOBA YD. (250 W. 70TH),135,20,N/A,N/A
D1414,"TRUCK, PICKUP, COMPACT, FOUR WHEEL DRIVE",light duty,Engineering Services,ENGINEERING TRANSFER AND LANDFILL OPER.,FORD,RANGER,2011,DELTA LANDFILL,3405,NULL,N/A,N/A
D1439,"TRUCK, REFUSE, LITTER PICKUP, SEMI-AUTOMATED",hvy trk,Engineering Services,ENGINEERING SANITATION OPER.,FORD,F350,2009,MANITOBA YD. (250 W. 70TH),21990,1424,327.7900012,137.49499
D1450,"TRUCK, TRACTOR, TANDEM AXLE",hvy trk,Engineering Services,ENGINEERING TRANSFER AND LANDFILL OPER.,FREIGHTLINER,CD122064,2013,SOUTH SIDE TRANSFER STATION,45984,NULL,1361.245553,193.69136
D1471,"TRUCK, TRACTOR, TANDEM AXLE",hvy trk,Engineering Services,ENGINEERING TRANSFER AND LANDFILL OPER.,FREIGHTLINER,CD122064,2013,SOUTH SIDE TRANSFER STATION,49131,NULL,1404.423893,200.16416
D1472,"TRUCK, TRACTOR, TANDEM AXLE",hvy trk,Engineering Services,ENGINEERING TRANSFER AND LANDFILL OPER.,FREIGHTLINER,CD122064,2013,SOUTH SIDE TRANSFER STATION,58581,NULL,1099.700814,175.87917
D1473,"TRUCK, TRACTOR, TANDEM AXLE",hvy trk,Engineering Services,ENGINEERING TRANSFER AND LANDFILL OPER.,FREIGHTLINER,CD122064,2013,SOUTH SIDE TRANSFER STATION,47069,NULL,882.8050019,210.08391
D1474,"TRUCK, TRACTOR, TANDEM AXLE",hvy trk,Engineering Services,ENGINEERING TRANSFER AND LANDFILL OPER.,FREIGHTLINER,CD122064,2013,SOUTH SIDE TRANSFER STATION,64500,NULL,1580.420549,203.50004
D1475,"TRUCK, TRACTOR, TANDEM AXLE",hvy trk,Engineering Services,ENGINEERING TRANSFER AND LANDFILL OPER.,FREIGHTLINER,CD122064,2013,SOUTH SIDE TRANSFER STATION,39239,NULL,1017.059161,231.60429
D1476,"TRUCK, TRACTOR, TANDEM AXLE",hvy trk,Engineering Services,ENGINEERING TRANSFER AND LANDFILL OPER.,FREIGHTLINER,CD122064,2013,SOUTH SIDE TRANSFER STATION,51398,NULL,1615.972215,212.57994
D1477,"TRUCK, TRACTOR, TANDEM AXLE",hvy trk,Engineering Services,ENGINEERING TRANSFER AND LANDFILL OPER.,FREIGHTLINER,CD122064,2013,SOUTH SIDE TRANSFER STATION,48431,NULL,1138.538616,187.84748
D1478,"TRUCK, TRACTOR, TANDEM AXLE",hvy trk,Engineering Services,ENGINEERING TRANSFER AND LANDFILL OPER.,FREIGHTLINER,CD122064,2013,SOUTH SIDE TRANSFER STATION,48020,NULL,1685.859456,201.85247
D1523,"TRUCK, RECYCLING, RIGHT PICKUP",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,CRANE CARRIER,LET2,2009,MANITOBA YD. (250 W. 70TH),12415,NULL,244.1491653,206.7697
D1525,"TRUCK, RECYCLING, RIGHT PICKUP",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,CRANE CARRIER,LET2,2009,MANITOBA YD. (250 W. 70TH),11501,NULL,400.5888887,333.75363
D1535,"VAN, 1.5TON, CUBE BODY",light duty,Engineering Services,ENGINEERING SANITATION OPER.,FORD,E450,2005,MANITOBA YD. (250 W. 70TH),15831,NULL,1071.692763,116.18556
D1555,"TRUCK, REFUSE, SIDE LOADER, AUTOMATED, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,1379,816.1300004,378.71756
D1556,"TRUCK, REFUSE, SIDE LOADER, AUTOMATED, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,1358,826.6561093,408.80529
D1557,"TRUCK, REFUSE, SIDE LOADER, AUTOMATED, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,1425,594.9972248,416.20943
D1558,"TRUCK, REFUSE, SIDE LOADER, AUTOMATED, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,1394,427.4674973,398.41473
D1559,"TRUCK, REFUSE, SIDE LOADER, AUTOMATED, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,1125,809.2697186,652.88477
D1560,"TRUCK, REFUSE, SIDE LOADER, AUTOMATED, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,1359,434.9558332,293.10932
D1561,"TRUCK, REFUSE, SIDE LOADER, AUTOMATED, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,1493,N/A,N/A
D1562,"TRUCK, REFUSE, SIDE LOADER, AUTOMATED, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,1760,469.7416659,337.4203
D1563,"TRUCK, REFUSE, SIDE LOADER, AUTOMATED, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,1436,829.0452796,624.57137
D1564,"TRUCK, REFUSE, SIDE LOADER, AUTOMATED, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,1391,668.1772186,350.12856
D1566,"TRUCK, REFUSE, SIDE LOADER, AUTOMATED, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,1040,469.1405565,360.70504
D1567,"TRUCK, REFUSE, SIDE LOADER, AUTOMATED, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,1364,233.014444,197.1458
D1568,"TRUCK, REFUSE, SIDE LOADER, AUTOMATED, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,1291,790.1408393,368.20809
D1569,"TRUCK, REFUSE, SIDE LOADER, AUTOMATED, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,1857,843.9030635,413.61662
D1570,"TRUCK, REFUSE, SIDE LOADER, AUTOMATED, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,1355,778.6802812,398.89689
D1571,"TRUCK, REFUSE, SIDE LOADER, AUTOMATED, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,1451,538.069169,407.31339
D1635,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F150,2013,NATIONAL YD. (701 NATIONAL),15146,NULL,29.37027764,6.74139
D1640,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,RANGER,2005,NATIONAL YD. (701 NATIONAL),3355,NULL,42.66472226,7.51501
D1642,"TRUCK, PICKUP, COMPACT, FOUR WHEEL DRIVE",light duty,Engineering Services,ENGINEERING TRANSFER AND LANDFILL OPER.,TOYOTA,TACOMA,2013,DELTA LANDFILL,11522,NULL,192.9561127,74.99828
D1646,"VAN, PANEL, HEAVY",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS MAINTENANCE,FORD,E250,2006,NATIONAL YD. (701 NATIONAL),11008,NULL,229.1774971,30.75166
D1649,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F250,2006,NATIONAL YD. (701 NATIONAL),9622,NULL,152.4583321,73.54806
D1664,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F250,2006,NATIONAL YD. (701 NATIONAL),13445,NULL,145.5924975,36.64945
D1665,"VAN, PANEL, LIGHT",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS MAINTENANCE,FORD,E150,2009,NATIONAL YD. (701 NATIONAL),11631,NULL,83.94944511,33.44916
D1736,"TRUCK, AERIAL, 34 FT BOOM",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F550,2009,NATIONAL YD. (701 NATIONAL),31041,NULL,516.2694473,101.65498
D1760,"TRUCK, PICKUP, COMPACT",light duty,Community Services Group,CEMETERY,FORD,RANGER,2011,MNTN VIEW CEMETERY(5455FRASER),7689,NULL,24.07444525,7.89584
D1882,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING SANITATION OPER.,FORD,F250,2006,MANITOBA YD. (250 W. 70TH),8231,NULL,68.871944,36.79609
D1884,"TRUCK, PICKUP, COMPACT, FOUR WHEEL DRIVE",light duty,Engineering Services,ENGINEERING SANITATION OPER.,FORD,RANGER,2008,MANITOBA YD. (250 W. 70TH),23085,NULL,114.0180558,33.09528
D1885,"AUTO, PASSENGER, MICRO COMPACT",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS ENFORCEMENT,MERCEDES,SMARTC,2008,PARKING ENFORCE.(1125 HOWE ST),5021,NULL,7.98888889,1.56279
D1898,"TRUCK, REFUSE, SIDE LOADER, AUTOMATED, 12 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION OPER.,FREIGHTLINER,M2-106,2014,MANITOBA YD. (250 W. 70TH),NULL,NULL,439.7750049,18.22917
D1902,"VAN, PANEL, POUND",light duty,Community Services Group,VANCOUVER ANIMAL CONTROL,GENERAL MOTORS,SAVANA,2006,POUND (1280 RAYMUR),8520,NULL,114.9147233,33.85498
D1903,"VAN, PANEL, POUND",light duty,Community Services Group,VANCOUVER ANIMAL CONTROL,GMC,SAVANA,2010,POUND (1280 RAYMUR),12150,NULL,118.6447227,21.65942
D1905,"VAN, PANEL, POUND",light duty,Community Services Group,VANCOUVER ANIMAL CONTROL,MERCEDES,SPRINTER,2012,POUND (1280 RAYMUR),14126,NULL,145.7227773,20.10664
D1906,"VAN, PANEL, POUND",light duty,Community Services Group,VANCOUVER ANIMAL CONTROL,MERCEDES,SPRINTER,2012,POUND (1280 RAYMUR),18630,NULL,264.9727777,30.13388
D1917,"VAN, PANEL, POUND",light duty,Community Services Group,VANCOUVER ANIMAL CONTROL,GMC,SAVANA,2010,POUND (1280 RAYMUR),8691,NULL,121.9419426,17.89447
D1920,"TRUCK, ANIMAL CONTROL, GAS, 1.5 TON",hvy trk,Community Services Group,VANCOUVER ANIMAL CONTROL,FORD,F350,2004,POUND (1280 RAYMUR),4208,NULL,269.0611117,32.08807
D1940,"VAN, PANEL, HEAVY",light duty,Engineering Services,ENGINEERING EQUIPMENT OPER.,FORD,E250,2009,MANITOBA YD. (250 W. 70TH),6719,NULL,57.17916653,19.67083
D1947,"VAN, 1.5TON, CUBE BODY",light duty,Engineering Services,ENGINEERING EQUIPMENT OPER.,FORD,E450,2008,MANITOBA YD. (250 W. 70TH),7633,NULL,111.4716654,21.49333
D1948,"VAN, PANEL, HEAVY",light duty,Engineering Services,ENGINEERING EQUIPMENT OPER.,FORD,E350,2012,MANITOBA YD. (250 W. 70TH),1164,NULL,153.0430574,15.28027
D1960,"TRUCK, CLASS 7, REG CAB, DUMP BODY, SNOW EQUIPPED",hvy trk,Engineering Services,ENGINEERING EQS LOANER POOL,FREIGHTLINER,MM10604,2011,NATIONAL YD. (701 NATIONAL),5512,NULL,365.9077778,25.73695
D1961,"TRUCK, CLASS 7, REG CAB, DUMP BODY, SNOW EQUIPPED",hvy trk,Engineering Services,ENGINEERING EQS LOANER POOL,FREIGHTLINER,MM10604,2011,NATIONAL YD. (701 NATIONAL),7643,NULL,259.7363874,53.11307
D1962,"TRUCK, CLASS 7, REG CAB, DUMP BODY, SNOW EQUIPPED",hvy trk,Engineering Services,ENGINEERING EQS LOANER POOL,FREIGHTLINER,MM10604,2011,NATIONAL YD. (701 NATIONAL),6140,NULL,197.9127784,12.76251
D2036,"CONSTRUCTION, LOADER BACKHOE, HEAVY",hvy equip,Engineering Services,ENGINEERING WATERWORKS OPER.,CASE,590SN,2013,MANITOBA YD. (250 W. 70TH),NULL,960,107.2686112,35.36501
D2170,"CONSTRUCTION, LOADER BACKHOE, MEDIUM",hvy equip,Engineering Services,ENGINEERING STREETS OPER.,CASE,590SM-2,2006,NATIONAL YD. (701 NATIONAL),NULL,992,385.577222,225.42891
